,period,future,node,Data,Regressor,Score,Params
49,60,7,dam_Dachaoshan,Neighborhood,SVR,0.7700079422958439,"{'C': 20, 'kernel': 'linear'}"
50,60,7,dam_Dachaoshan,Neighborhood,MLP,0.609794703774041,"{'activation': 'tanh', 'hidden_layer_sizes': (128, 128, 128)}"
51,60,7,dam_Dachaoshan,Exclusive,Ridge,0.6697891877670419,{'alpha': 0}
52,60,7,dam_Dachaoshan,Exclusive,SVR,0.7482099841586655,"{'C': 15, 'kernel': 'linear'}"
53,60,7,dam_Dachaoshan,Exclusive,MLP,0.6385008179310412,"{'activation': 'tanh', 'hidden_layer_sizes': (128,)}"
54,60,7,dam_Nuozhadu,Self,Ridge,0.9392303789670329,{'alpha': 0}
55,60,7,dam_Nuozhadu,Self,SVR,0.9431828595662654,"{'C': 20, 'kernel': 'linear'}"
56,60,7,dam_Nuozhadu,Self,MLP,0.92651372937277,"{'activation': 'relu', 'hidden_layer_sizes': (128,)}"
57,60,7,dam_Nuozhadu,Neighborhood,Ridge,0.9192045331760134,{'alpha': 0}
58,60,7,dam_Nuozhadu,Neighborhood,SVR,0.9290258645834722,"{'C': 20, 'kernel': 'linear'}"
59,60,7,dam_Nuozhadu,Neighborhood,MLP,0.8479017247972155,"{'activation': 'tanh', 'hidden_layer_sizes': (128, 128, 128)}"
60,60,7,dam_Nuozhadu,Exclusive,Ridge,0.4884013705019046,{'alpha': 0}
61,60,7,dam_Nuozhadu,Exclusive,SVR,0.49491692562772105,"{'C': 15, 'kernel': 'linear'}"
62,60,7,dam_Nuozhadu,Exclusive,MLP,0.46744691540524186,"{'activation': 'tanh', 'hidden_layer_sizes': (128,)}"
63,60,7,dam_Jinghong,Self,Ridge,0.6213569545344906,{'alpha': 0}
64,60,7,dam_Jinghong,Self,SVR,0.6096680028953616,"{'C': 15, 'kernel': 'linear'}"
65,60,7,dam_Jinghong,Self,MLP,-0.10580005146389038,"{'activation': 'tanh', 'hidden_layer_sizes': (128, 128, 128)}"
66,60,7,dam_Jinghong,Neighborhood,Ridge,0.6144172510272476,{'alpha': 0}
67,60,7,dam_Jinghong,Neighborhood,SVR,0.6528418441559216,"{'C': 15, 'kernel': 'linear'}"
68,60,7,dam_Jinghong,Neighborhood,MLP,0.16734698986920793,"{'activation': 'tanh', 'hidden_layer_sizes': (128,)}"
69,60,7,dam_Jinghong,Exclusive,Ridge,-2.089277842402357,{'alpha': 0}
